"site","date","survey_time","start_time","end_time","duration_min","species_ves","count"
phelps pond,2022-06-03,night,"20:57:00","21:26:00",29,rana catesbeiana,1
phelps pond,2022-06-03,night,"20:57:00","21:26:00",29,rana clamitans,1
wood lab pond,2022-05-26,night,"20:57:00","21:17:00",20,rana catesbeiana,1
wood lab pond,2022-05-26,night,"20:57:00","21:17:00",20,rana clamitans,1
wood lab pond,2022-05-26,night,"20:57:00","21:17:00",20,rana catesbeiana,2
wood lab pond,2022-05-26,night,"20:57:00","21:17:00",20,rana catesbeiana,1
wood lab pond,2022-05-26,night,"20:57:00","21:17:00",20,rana clamitans,1
wood lab pond,2022-05-27,night,"20:43:00",,,rana catesbeiana,1
wood lab pond,2022-05-27,night,"20:43:00",,,rana clamitans,1
wood lab pond,2022-05-27,night,"20:43:00",,,rana clamitans,1
wood lab pond,2022-05-27,night,"20:43:00",,,rana catesbeiana,1
wood lab pond,2022-05-26,night,"20:57:00","21:17:00",20,rana clamitans,1
phelps pond,2022-06-03,night,"20:59:00","21:25:00",26,rana catesbeiana,1
phelps pond,2022-06-03,night,"20:59:00","21:25:00",26,rana catesbeiana,5
phelps pond,2022-06-03,night,"20:59:00","21:25:00",26,rana clamitans,1
phelps pond,2022-06-03,night,"20:59:00","21:25:00",26,rana catesbeiana,1
tuttle pond,2022-06-14,night,"21:18:00","21:38:00",20,rana clamitans,1
tuttle pond,2022-06-14,night,"21:18:00","21:38:00",20,rana catesbeiana,1
tuttle pond,2022-06-14,night,"21:18:00","21:38:00",20,rana pipiens,1
tuttle pond,2022-06-14,night,"21:18:00","21:38:00",20,rana catesbeiana,1
tuttle pond,2022-06-14,night,"21:18:00","21:38:00",20,rana clamitans,1
tuttle pond,2022-06-14,night,"21:18:00","21:38:00",20,rana pipiens,1
tuttle pond,2022-06-14,night,"21:18:00","21:38:00",20,rana catesbeiana,4
tuttle pond,2022-06-14,night,"21:18:00","21:38:00",20,rana clamitans,3
tuttle pond,2022-06-15,night,"21:33:00","21:56:00",23,rana catesbeiana,1
tuttle pond,2022-06-15,night,"21:33:00","21:56:00",23,rana clamitans,1
tuttle pond,2022-06-15,night,"21:33:00","21:56:00",23,rana clamitans,2
tuttle pond,2022-06-15,night,"21:33:00","21:56:00",23,rana clamitans,3
vorisek pond,2022-06-27,night,"22:14:00","22:34:00",20,rana catesbeiana,1
vorisek pond,2022-06-27,night,"22:14:00","22:34:00",20,rana clamitans,2
vorisek pond,2022-06-27,night,"22:14:00","22:34:00",20,rana clamitans,1
vorisek pond,2022-06-27,night,"22:14:00","22:34:00",20,rana catesbeiana,2
vorisek pond,2022-06-27,night,"22:14:00","22:34:00",20,rana clamitans,2
vorisek pond,2022-06-27,night,"22:14:00","22:34:00",20,rana catesbeiana,1
vorisek pond,2022-06-27,night,"22:14:00","22:34:00",20,rana clamitans,1
vorisek pond,2022-06-27,night,"22:14:00","22:34:00",20,rana clamitans,1
vorisek pond,2022-06-27,night,"22:14:00","22:34:00",20,rana clamitans,2
vorisek pond,2022-06-27,night,"22:14:00","22:34:00",20,rana clamitans,1
vorisek pond,2022-06-27,night,"22:14:00","22:34:00",20,rana catesbeiana,1
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana catesbeiana,1
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana clamitans,1
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana catesbeiana,4
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana clamitans,2
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana catesbeiana,2
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana catesbeiana,3
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana clamitans,3
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana clamitans,4
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana clamitans,5
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana clamitans,2
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana catesbeiana,1
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana clamitans,1
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana catesbeiana,2
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana catesbeiana,5
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana catesbeiana,3
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana catesbeiana,4
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana clamitans,3
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana clamitans,7
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana catesbeiana,3
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana clamitans,1
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana catesbeiana,1
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana clamitans,3
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana catesbeiana,9
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana clamitans,20
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana catesbeiana,10
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana clamitans,6
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana catesbeiana,5
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana clamitans,10
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana clamitans,2
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana catesbeiana,4
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana clamitans,5
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana catesbeiana,6
rv pond,2022-07-11,night,"21:39:00","22:03:00",24,rana clamitans,8
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana clamitans,1
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana catesbeiana,1
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana catesbeiana,3
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana clamitans,6
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana clamitans,3
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana clamitans,2
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana catesbeiana,4
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana catesbeiana,2
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana catesbeiana,5
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana catesbeiana,7
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana catesbeiana,2
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana catesbeiana,1
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana clamitans,3
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana clamitans,1
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana clamitans,8
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana catesbeiana,8
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana catesbeiana,5
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana catesbeiana,12
tuttle pond,2022-07-18,night,"21:30:00","21:52:00",22,rana clamitans,6
